,molecular_weight_1,molecular_weight_2,molecular_weight_3,molecular_weight_4,hydrophobicity_1,hydrophobicity_2,hydrophobicity_3,hydrophobicity_4,node_degree_1,node_degree_2,node_degree_3,node_degree_4,node_weighted_degree_1,node_weighted_degree_2,node_weighted_degree_3,node_weighted_degree_4,residue_count_1,residue_count_2,residue_count_3,residue_count_4,clustering_coeff_1,clustering_coeff_2,clustering_coeff_3,clustering_coeff_4,conservation_score_1,conservation_score_2,conservation_score_3,conservation_score_4,bulkiness_1,bulkiness_2,bulkiness_3,bulkiness_4,polarity_1,polarity_2,polarity_3,polarity_4,turn_tendency_1,turn_tendency_2,turn_tendency_3,turn_tendency_4,coil_tendency_1,coil_tendency_2,coil_tendency_3,coil_tendency_4,flexibility_1,flexibility_2,flexibility_3,flexibility_4,partial_specific_volume_1,partial_specific_volume_2,partial_specific_volume_3,partial_specific_volume_4,refractive_index_1,refractive_index_2,refractive_index_3,refractive_index_4,compressibility_1,compressibility_2,compressibility_3,compressibility_4,class
1DIV,95.72130701431618,34.4654584509118,9.475934760083062,6.7844567150738895,0.981942702524021,0.16701468053387655,1.0794897160392725,1.0309850314989273,6.510286777569184,2.2386637014355344,0.828621849785887,0.412792357068502,48.37238708956423,14.2657755052339,16.68640737859123,8.620252065495801,10.459276240369892,3.545795999432058,2.318610532924409,1.684055784691883,0.4745283228292217,0.16590233543682423,0.05449849954194079,0.018756713952891926,0.5999581758257975,0.22363853291373856,0.017643863667961977,0.005637879847679779,11.712896809405816,4.091724583637608,1.4741747302918784,1.3466013100382912,16.109323004849383,4.711307917202038,8.18319955735337,6.485320281813185,0.7019099592421901,0.24924350589978317,0.11265241081263935,0.08557386445276165,0.7192370274636385,0.2560567591348327,0.09238449817795605,0.07363895660028803,1.6911164055595942,0.5448281661323432,0.4953839005724498,0.389474930039161,67.18845302782884,23.99085370189375,7.210747686847233,6.181126960459618,12.59859834876401,4.447519162767254,1.8586616445179733,1.5568660503699674,22.674806652031997,8.296224924349033,1.3912575939817835,0.81399212959068,6.58
1EBD,96.9007804915514,32.683586966140254,18.629259127434082,6.7406693467289145,1.7680116271523207,0.13294604035416532,0.9014792400079659,0.7195348438283475,7.45362716528332,2.445190563315535,1.4875905457083627,0.46175674150894236,125.50606282418613,35.711601842941384,45.824100502091554,20.20535985437512,29.7186570175381,9.201453049218863,6.791388548646313,3.7538122968487664,0.43448491243366694,0.14543728502921316,0.08513537988831925,0.017675300927288036,0.5997281717468611,0.21770955768964237,0.09589076133661216,0.004351500910728821,12.117549677425975,3.92940074733648,2.5005198050984556,1.3961430254927139,15.655002429028132,3.7350333288065993,7.279898892894172,4.05159640563022,0.7940411782599914,0.25291556397884074,0.17117632019862536,0.08644966038643274,0.7965024199988578,0.2613369753605692,0.16177942755888372,0.06726610779212149,1.578479171798752,0.44728025894375883,0.46918520478576325,0.2996642168907976,67.96069939913824,22.52813298111388,13.49792080990748,6.240620354431165,13.013715240527608,4.1199387900878595,2.97916215897171,1.7948860712721224,22.843994280870845,8.020411062434807,4.002085686529331,0.8576598917964702,9.68
1ENH,102.50643961459828,35.13161819937718,10.23497674933474,4.180510952979105,1.0430963801227293,0.37245248282203947,1.0139274758765444,0.8005541113057278,5.3319351860037045,1.879738299424739,0.7018112247395948,0.30964340476066615,9.125990222461102,3.1545222701099926,3.5236645316983553,1.4315667309780327,3.773463377920361,1.3013391071793743,0.8782695236333722,0.5031130153736343,0.46920125955051284,0.1606685940769758,0.06611024520753644,0.015250488843697254,0.6036012861440487,0.21024777879033932,0.014749118212096284,0.00414264057095818,11.238162529863597,3.85869317303219,1.3602986097708214,0.6823027228488052,14.710743246301636,4.904507838819531,9.074832208706319,5.4381689278984515,0.6871252102543416,0.23817989612384824,0.11510427912892846,0.05464162220846452,0.7113871196490583,0.24658514192046063,0.08390116097571039,0.04372272490376775,1.9167932815816573,0.6495019817819556,0.5760393267398415,0.3260733207287603,71.92987711358623,24.68690983369278,8.486636141000728,3.7661681203998283,14.485803989019743,4.837203144694341,2.514563127397745,1.1438241565189764,22.39377139781572,7.836283679496131,1.020879197440306,0.727787042240348,10.53
1FKB,95.98517540312761,72.65342006913791,12.78214941937764,10.090299058284039,0.9303163357906981,0.2657947525376088,0.7990844519212942,0.9883252399352521,7.03129340038842,5.021506659770813,1.2221597019411832,0.7071969295105326,89.73552436370922,51.91368924638153,33.728432047383286,22.62849568118037,5.277460308126367,3.8888323946683214,0.8642987662844293,1.006111601396227,0.4402316172265155,0.3239949724950439,0.0668560928804396,0.035853924251047005,0.6061828720022622,0.4728580875416699,0.06289921531925904,0.00756465629236568,11.222578021283786,8.295283429585004,1.8265970484485425,1.9300297465600658,14.171387994949692,8.569201137725381,5.681307002661876,6.668082461199475,0.77233153045848,0.5649272022509508,0.13238612730503077,0.15139243810386305,0.7853177277494473,0.5822132614599413,0.12139918490066336,0.1295089355544083,1.550837155947588,1.0395796612941584,0.3549133862116791,0.49235604755695955,66.54728262056373,49.83214042747019,9.512999218028112,8.868480432302386,12.382291425004283,8.973030722858313,2.263075079575622,2.9062965499950044,22.347520764035096,17.218406377097477,2.592490431218213,1.1958305076077043,1.46
1G6P,96.63911898158658,18.202794946598203,13.574822606427658,14.952764350420992,0.7065463647097106,0.09342095204278826,0.5285356810419856,1.608954320952673,6.889504676942256,1.25294062309588,1.0792245822006434,1.1715508378671364,43.341263403482934,7.244382518367143,13.778240722837003,12.496467610661819,4.679483858801075,0.8460328114153933,0.9199030924854744,1.5043287815779727,0.45091830048658543,0.0825887782124189,0.06020007163096209,0.04994924746247607,0.6006141552506136,0.11632586740182314,0.054650573594491485,0.01098960569326439,11.132339722693727,2.061970588328874,2.047027302591661,2.035816132065984,15.30218010815471,2.6792837411901402,5.607482412218933,11.584318908770726,0.7089797186025016,0.1312959313855016,0.11447148014183657,0.15061580427174825,0.7201328237718623,0.1342933705546018,0.10409690079979375,0.130464364675771,1.5405553360250477,0.27580922365321636,0.4236938016518242,0.6737123417057642,66.72646215872632,12.472395643418038,10.43626707609035,10.862441269700744,12.886866258097816,2.3218720797181858,3.0818092473776413,3.9899295623385704,22.59712473882313,4.342246467019357,2.328504135496865,1.4883628135928566,6.3
1HDN,94.29513697980299,40.601428948278134,15.483899545959877,9.629869773270453,0.6692745133380802,0.05828117911222178,0.7487754376122252,1.0479098471650987,6.9258808679994575,2.903166585382539,1.3076420066768388,0.6685547811889356,69.31559167206694,22.179790446359267,31.25458670398826,15.267314151679201,5.1191270156503625,2.1960331468554672,0.8949933509566961,1.1609011047502018,0.4255270201881029,0.18183016016216236,0.07136871745473011,0.0337708846479051,0.6031611257963714,0.27039379271323066,0.07497145710201225,0.008360504295807465,11.372029635634249,4.846172308654758,2.0739017543342047,2.02235513739344,13.81877523282208,4.106647363948999,7.301609668109351,6.305071270832225,0.7043583768585533,0.29345231086635715,0.13386558813636457,0.13548840440249282,0.7317569947671062,0.30706594983579877,0.13334539395768674,0.1054857851953204,1.4948359861506122,0.5636751581851648,0.4540410727051385,0.44107387568260736,65.25074432408113,27.766094864011553,11.598035289304248,8.446745128012122,12.340560343896255,4.911055356718583,3.068618469505608,2.1687713822813848,22.847922205771425,10.024153297042366,3.2590969487712895,1.2676826621819461,2.7
1HRC,97.79338615759224,75.09153506632427,12.61283535986478,10.075953298896252,1.3024012508049874,0.540593947022773,0.8037935523551487,1.1078154823411177,6.4164227337233815,4.714161669524113,1.0434078088426444,0.6289261175861938,50.91560905577357,28.70260359294754,22.837508584771136,13.796163317116175,7.615856824045971,5.068676137636958,2.015450965044448,1.7871535933663245,0.4459209028797218,0.32567997198419213,0.07343446891729387,0.028754734216371116,0.6046429926938238,0.4790053626988736,0.05938328405155499,0.007116624834765343,11.163012423206188,8.478539308853597,1.6948116843324237,1.5964445863303582,18.163436149056217,10.969643964530944,7.1246614755749595,8.655677755118022,0.7819391924228614,0.5819224737293368,0.11409196885918739,0.12194851171087039,0.7890641317600608,0.5944762989602173,0.10149706201575971,0.0951741440611158,1.753731807250993,1.192957232105748,0.45425462732710203,0.5094493312126248,67.98109610508934,51.678834276547384,9.567247781942493,7.557572094222617,13.416423440572203,9.806884411023036,2.4583087229598175,2.7202510505697726,22.8696479141957,17.82278395498056,2.530023910834918,1.0417425006724716,8.76
1HZ6,96.24765479270786,16.877286865385894,11.394728671813112,13.636626286084349,0.7354818444808626,0.07624312482111772,0.6873472667611273,1.1268282268016592,6.629615180611331,1.1297976338367606,1.0865800777444394,0.9737638154870942,40.48873599772777,5.973636460486774,14.429129061924659,19.43183166512494,4.259566707519816,0.7373247044286461,0.6894872845970179,0.9994132996897489,0.4640328215127069,0.07960195064337311,0.06540693705032934,0.039352776379269004,0.6086081701020415,0.10967136469068242,0.04819948490162236,0.0072215945661917086,10.888680297597645,1.9184329730656147,1.4357725959647636,1.920329977822117,15.01196283834287,2.256047280191549,6.115441849571554,6.977988797440898,0.7394711259383216,0.12854587413394694,0.09680353148380506,0.14398613361844187,0.7341296049389535,0.12875212573843603,0.0869845728567081,0.11670335969641947,1.3915896467570947,0.22668828479621647,0.3687109222633541,0.5469026543401736,64.46694876358204,11.333532447222778,7.982057511641834,11.25545838681917,12.69351991363208,2.198050893984049,1.9774843809265066,3.641121888924583,22.956013342487513,4.078421643422882,2.1746979693629935,1.4421681983574486,4.1
1IMQ,97.83991402941808,47.38975132000935,16.706878779630642,8.23819134989834,1.2245164472227246,0.2646073432793326,1.0127032522797426,0.6921953008857084,6.695997163838731,3.1070303661723986,1.3126225305875523,0.568095789586452,42.89174618980329,14.56175738267046,20.180706721770754,12.049493380052771,4.707105519344513,2.121058200586312,1.0406869913211807,0.6704647447075371,0.455504065373521,0.2140282783273631,0.09025924041645304,0.025556707945803656,0.6050557450045085,0.30731716484908445,0.07469031595371872,0.007016987832401732,11.394870914041642,5.376176900002229,2.302465803466378,1.3612800448356053,17.353799805565643,6.026372922150025,9.276036146495805,5.455437086615965,0.8116379765694954,0.37409390940592296,0.17059184055282559,0.09429241018208043,0.7945037429066946,0.37710241632488717,0.14824182683073514,0.0793256921313211,1.5520168894980928,0.6679315294285224,0.4815349972762897,0.35290243872549915,65.60250271425208,31.743250093628834,11.531467765939528,6.6754634728523055,12.480492349204809,5.804907913893145,2.969762901342387,2.781846600935795,23.024481837854236,11.448374172696766,3.3167903234121168,0.7636301061153666,7.31
1LMB,94.42973965267488,2.0645379594250524,11.583898265266443,6.644004307103285,0.6864247354348351,0.12508127596209243,1.2701993471892246,0.6676671686894771,6.0971678187700755,0.20417392838917295,0.736128339312432,0.24730906667149122,21.118122861649354,2.1463648803777575,7.944138876339871,4.534830442163292,5.596436952912993,0.17675163813469288,1.1408360300470284,0.8103269342427721,0.4804830649432568,0.01607222423842192,0.07098609405281067,0.016158100581623782,0.5963356483135571,0.009611343768520662,0.027257412855731907,0.004330230492387293,11.289189243188705,0.3700402486718905,1.9535322765894734,1.050522335968463,13.760100088512361,0.849228357420547,9.989774503488412,3.058046988901667,0.7207801117447477,0.02451124269306857,0.15603629996838897,0.07569381401642616,0.7219127896212715,0.020813185308573557,0.12939395573520035,0.05498031993294355,1.541870222424673,0.05242938740986713,0.5815263911554097,0.3146106397577264,65.80833000923744,1.654545944080882,10.48073515347266,5.339044765786333,12.700030241268218,0.5063381363335628,3.1313936201817967,1.4045917471025162,22.347770370797885,0.39176220687415897,1.6671248147619369,0.7819578839253609,8.5
